"","familiarity.with.stats","programming.language","time.programming"
"1",3,"R","< 6 months"
"2",3,"R","Between 6 months to 1 year"
"3",2,"Python","< 6 months"
"4",3,"Python","Between 6 months to 1 year"
"5",3,"Python","< 6 months"
"6",2,"Python","< 6 months"
"8",2,"C/C++","2-4 years"
"7",2,"Shell","1-2 years"
"9",3,"python","Between 6 months to 1 year"
"10",3,"python","1-2 years"
"11",3,"Python","2-4 years"
"12",3,"Python","< 6 months"
"13",2,"JavaScript","> 4 years"
"14",2,"Python","Between 6 months to 1 year"
"15",2,"SQL","Between 6 months to 1 year"
